"","Component","230523s016_QC1_1.mzML","230523s017_QC2_1.mzML","230523s018_A081.mzML","230523s020_A254.mzML","230523s021_A158.mzML","230523s022_A521.mzML","230523s028_QC1_2.mzML","230523s029_QC2_2.mzML","230523s030_A043.mzML","230523s031_A551.mzML","230523s032_A566.mzML","230523s033_A513.mzML","230523s040_QC1_3.mzML","230523s041_QC2_3.mzML"
"1","131",24020291.6297346,28183110.6922119,12404549.2882189,28647262.6619856,19778739.1858525,15973260.7429625,29269959.788053,27130309.2904736,19605964.6604104,65198736.6533406,6319714.98128289,5151537.1004642,28820005.3599577,28614612.8770934
"2","1576",8952765.93964601,9009793.23888552,10069134.561115,8740815.76924264,9832668.01165223,10029677.8502369,8809010.1490308,8410985.61638772,8384713.33129609,10408981.075269,9276248.76024759,9122994.80807412,9147050.44020832,9265387.32530391
"3","1577",31972288.2411823,31621393.2476196,33184502.7005157,29541076.6131372,36105804.7274399,33162748.1449757,31866204.9005661,31143734.2231483,28043810.9109583,37897280.7476807,28021253.2258072,30422007.9478016,31651441.9287148,29564982.0691299
"4","1578",23234773.1025548,24457533.9664309,34549456.338279,30473747.1748991,26068231.2306638,28313703.57652,22667408.9977229,23067482.5770955,27788464.4812348,34880113.279979,28988999.0790138,28398306.2364206,23927009.819838,22168020.8241372
"5","1583",115889437.541794,112737670.223545,132212474.278042,125748268.224436,122671293.124212,130028353.051067,108772008.892937,112322857.552435,113154297.698246,129791198.590782,121465742.113148,79729532.3695965,104780063.922281,109711464.168228
"6","179",36945872.4284626,38625629.07551,25433620.449484,9928832.58402151,26196396.5974104,25567778.4086947,38382310.7541986,35189158.7389731,25537916.6030675,22157570.5011578,14137786.6746496,16480727.4809222,37429062.8087072,37541661.0023351
"7","183",20162477.0640318,12645921.1658675,5643958.93412107,5221266.8245118,2317106.88548343,5086217.55807066,19832067.2405121,18585949.3628377,15205387.7879448,5746201.78881627,8521498.76982433,114937814.556032,18110587.4113158,17736747.5645815
"8","331",3522785.59772584,3101867.51876608,3846750.70451473,3700780.90160766,4399843.03409427,3870897.56737401,3051280.8702144,2717727.33684702,2463079.42598273,4649619.29050258,3294970.27825807,2449976.1688987,3127686.88738002,2984706.57141277
"9","7",1415526.85397193,1181182.00519553,29318036.381079,2474614.26741301,429791.887169152,513319.230144816,1311056.26492134,1724221.56189019,10483378.4225209,661895.860789657,284115.59610085,83309.556411257,1371424.58503066,1541204.49979514
"10","9",1829956.31007102,1687962.43484428,80364937.804791,1142758.138041,168281.737478452,339939.564920247,1992208.30753073,1722207.10230991,1223376.99242564,121339.132386913,967141.410615221,595722.498387229,1846940.9544877,1747088.36960286
