"","Component","MS_A_POS.mzML","MS_B_POS.mzML","MS_C_POS.mzML","MS_D_POS.mzML","MS_E_POS.mzML","MS_F_POS.mzML","MS_QC_POOL_1_POS.mzML","MS_QC_POOL_2_POS.mzML","MS_QC_POOL_3_POS.mzML","MS_QC_POOL_4_POS.mzML"
"1","14",16525.6981211873,18002.5841783611,16543.5487170164,17354.1049486948,19069.9427564787,17914.6008501165,19826.2410428366,20773.3496425236,21403.3609705484,20310.1275236877
"2","15",17633.568441025,18678.192142427,16358.9434598247,20086.5330942208,19134.8355025891,11104.8497052025,18041.7061061366,17538.436679583,19005.3144992897,18484.4783339864
"3","17",9696.06093923235,10009.2589400443,10862.92373857,9731.8079476133,10586.7173048784,11158.9708838621,10348.6156985029,10773.9365085559,10188.590886984,10082.6647475245
"4","21",NA,3573.04635814187,3157.53717682319,47.0315059940058,4260.9955864136,NA,1498.4509408092,2006.2218668831,1746.38443481518,1378.94882867132
"5","22",827.470999500496,79504.3671858143,116928.036924076,2204.1271908092,166453.149688313,827.696562437559,36758.7754825172,40199.2168786214,39582.005268232,39544.2506903093
"6","23",28.6039796635923,384.448098475506,632.872036817542,NA,1976.85928425216,NA,660.777078873973,536.171983471344,715.306064176635,672.931210127397
"7","24",40.0487327672327,539.398172827146,1135.8610124875,24.2006873126866,1056.80077722279,23.6386303696299,115.506510989006,226.885224537342,167.616721278726,165.612066653826
"8","25",16.7712715116631,1726.53346518695,492.012120997475,42.8135717735186,1348.51023841125,NA,1519.01133487135,1763.01322410384,1583.10732296837,1511.2900927416
"9","26",6.81008991008991,248.721253246753,29.1263736263736,28.2383366633367,176.154263736264,129.804463536463,412.698850149849,77.2452797202795,63.3022477522477,88.8733766233763
"10","7",24554.2490116172,19440.3247823603,23690.0154063739,25865.2806815617,23022.2817463186,28952.3202213421,4001.6002055069,4652.10093640396,4538.37928510574,4427.5836225464
"11","8",58741.2880166173,53593.4086730499,63756.0380657092,63086.9219970666,56045.2644161358,70896.241367124,45736.6517787054,50036.2665352542,48452.9465743229,50892.8670588825
