"","Component","MS_A_POS.mzML","MS_B_POS.mzML","MS_C_POS.mzML","MS_D_POS.mzML","MS_E_POS.mzML","MS_F_POS.mzML","MS_QC_POOL_1_POS.mzML","MS_QC_POOL_2_POS.mzML","MS_QC_POOL_3_POS.mzML","MS_QC_POOL_4_POS.mzML"
"1","14",8327.05483405483,9330.58319458319,9670.68575868575,8831.60062160062,10213.6338106338,9284.14174714174,12189.7825507825,12898.72005772,13174.6208236208,12278.2535242535
"2","15",10154.4670884671,10968.0230880231,8032.44444444444,10840.9713619714,11177.2173382173,6066.08214008214,10199.3928293928,9876.29292929292,10575.9619269619,10375.4466644467
"3","17",6435.93095793095,6034.50993450993,7068.16583416583,6680.33261183261,6736.78632478632,7558.7094017094,6408.19713619713,6539.77788877788,6500.71567321567,6409.76945276945
"4","21",NA,2176.02997002997,1785.36213786214,47.2000777000777,2896.64135864136,NA,836.579975579975,984.351703851703,947.375013875013,904.26196026196
"5","22",781.850149850149,60542.7201687201,90210.2414252414,1671.83666333666,122668.560994561,688.838605838605,25604.3977133977,28294.303973804,29387.1709401709,28053.3916083916
"6","23",28.7824397824398,281.43956043956,420.778554778555,NA,914.18154068154,NA,372.144078144078,398.559274059274,405.109723609723,393.127983127983
"7","24",40.7717282717282,306.033966033966,568.676545676545,24.7061827061827,483.537351537351,24.1384171384171,96.2930957930957,120.57437007437,107.927516927517,100.67094017094
"8","25",16.7972027972028,897.029859029858,402.388389388389,44.1468531468531,709.420468420468,NA,889.419691419691,853.577145077144,860.241869241869,750.36963036963
"9","26",6.83449883449883,208.26023976024,29.2307692307692,28.3395493395493,197.226773226773,132.100566100566,387.450882450882,77.5221445221445,63.5291375291375,89.1919191919191
"10","7",12566.9358419358,9932.64357864357,11336.5342435342,13368.7402597403,11842.0893550893,14412.3704073704,2069.97757797758,2405.58419358419,2385.06626706627,2214.2905982906
"11","8",31045.0932400932,28270.3197913198,33718.9983349983,33602.7421467421,30286.8945498945,37460.0086580086,24753.3034743035,28338.3483183483,27489.327006327,28474.8201798202
