"","Component","MS_A_POS.mzML","MS_B_POS.mzML","MS_C_POS.mzML","MS_D_POS.mzML","MS_E_POS.mzML","MS_F_POS.mzML","MS_QC_POOL_1_POS.mzML","MS_QC_POOL_2_POS.mzML","MS_QC_POOL_3_POS.mzML","MS_QC_POOL_4_POS.mzML"
"1","14",21,22,26,25,19,20,19,18,17,18
"2","15",23,22,25,23,24,23,21,21,22,21
"3","17",16,20,14,15,15,14,17,18,19,16
"4","21",NA,13,20,7,13,NA,13,21,17,12
"5","22",10,14,13,13,14,9,15,14,14,13
"6","23",7,12,11,NA,23,NA,15,12,16,15
"7","24",8,15,16,8,15,9,8,12,12,15
"8","25",7,15,11,7,15,NA,13,19,14,19
"9","26",7,10,7,7,5,8,10,7,7,7
"10","7",22,25,22,21,23,22,20,20,23,24
"11","8",30,29,28,30,29,28,32,30,29,31
