"","Component","AUC","MaxInt","SNR","peak_cor","foundRT","pop","ID","NAME","m.z","tr"
"1","14",20578.269794899,12635.3442390942,16.6476104618134,0.969640355320051,159.811060483612,18,"14","L-Methionine (13C5, 99%; 15N, 99%)",156.072176,160.99999998
"2","15",18267.4839047489,10256.7735875236,12.8913104096366,0.947699255117953,151.523982331844,21.25,"15","L-Phenylalanine (13C9, 99%; 15N, 99%)",176.113476,153
"3","17",10348.4519603918,6464.61503774003,19.8489351110047,0.975759606176723,179.148565900864,17.5,"17","L-Serine (13C3, 99%; 15N, 99%)",110.056976,178.00000002
"4","21",1657.5015177947,918.142163392163,12.9330974313111,0.943988038723279,34.8989823318435,15.75,"21","Unknown_1",182.0749,34.83789
"5","22",39021.06207992,27834.816058941,30.2654833030198,0.988758620267132,32.8762323318435,14,"22","Caffeine",195.0877,32.65668
"6","23",646.296584162337,392.235264735264,17.0057674544911,0.96475970767427,162.041933140209,14.5,"23","BENZYL METHYL SULFIDE",161.04,162.13668
"7","24",130.200128176943,93.6065878565878,8.10387694433529,0.666096234510648,149.710482331844,10.5,"24","Anthranilic acid",138.0547,148.39599
"8","25",1594.10549367129,838.402084027083,16.9779898548333,0.933113739426891,181.313412738275,16.25,"25","Isoproturon",229.1299,181.08828
"9","26",160.529938561438,154.423520923521,7.17170131911577,0.941984295787673,33.5737323318435,7.75,"26","Unknown_2",560.3603,33.54916998
"10","7",4404.91601239075,2268.72965922966,18.4591804710853,0.959773365424697,209.253285282292,21.75,"7","L-Cystine (13C6, 99%; 15N2, 99%)",249.045276,208.99999998
"11","8",48779.6829867912,27263.9497446997,11.2617265889121,0.849697918590919,171.118296858979,30.5,"8","L-Glutamic acid (13C5, 99%; 15N, 99%)",154.074276,171
