"","Component","230523s016_QC1_1.mzML","230523s017_QC2_1.mzML","230523s018_A081.mzML","230523s020_A254.mzML","230523s021_A158.mzML","230523s022_A521.mzML","230523s028_QC1_2.mzML","230523s029_QC2_2.mzML","230523s030_A043.mzML","230523s031_A551.mzML","230523s032_A566.mzML","230523s033_A513.mzML","230523s040_QC1_3.mzML","230523s041_QC2_3.mzML"
"1","131",6786951,7018980.76190476,2668266.47619048,5979411.52380952,4855976,3871373.23809524,7418137.23809524,6895215.28571428,5739381.14285714,13226897.1904762,1484604.85714286,1203420.85714286,7038939.52380952,6925710.80952381
"2","1576",2122431.23809524,2162107.23809524,2494784.80952381,2003087.61904762,2415393.38095238,2349518.85714286,2077266.28571428,1933335.14285714,1929759.57142857,2618171.80952381,2029254.28571429,2059859.47619048,2049466.19047619,1970773.9047619
"3","1577",9799624.71428571,9731862.52380952,10226777.5238095,9067207.19047619,10911914,10176422.7619048,9771319.14285714,9536562.8095238,8472488.23809524,11525226.8571429,8609662.09523809,9351407.14285714,9577262.19047619,9193612.71428571
"4","1578",6934091.57142857,7467698.42857143,10549673,9122301.33333333,7857750.85714285,8494022.14285714,6923160.66666666,7204496.52380952,8481560.52380952,10638437.5714286,8817508.76190476,8392415.33333333,7011954.33333333,6350376.42857143
"5","1583",33369853.0952381,32659433.3333333,36781812.4285714,35326859.7142857,36153357.8571428,36079045.4285714,30490828.8095238,31736084.6666667,28758596.1904762,35925519.4761905,33971214.5238095,22620953.5714286,27605912.1428571,29478921.7142857
"6","179",8342641.95238095,9218463.66666666,5709995.85714286,2089595.80952381,6021626.9047619,5788640.71428571,9028526.76190476,8278482.9047619,5241226.52380952,5182785.19047619,3158142.19047619,3714676.9047619,8896683.04761904,8576456.71428571
"7","183",3399153.85714286,3515489.38095238,1082232.09523809,1425489.9047619,642737.238095238,750589.428571428,3287562.66666667,3322260.42857143,3451948.38095238,1651976.04761905,1540131.9047619,29447790.9523809,2866258.23809524,2821891.33333333
"8","331",851238.571428571,758935.714285714,867196.714285714,926308.809523809,1045870.14285714,879154.571428571,804377,720599.523809524,618682.095238095,1157173.23809524,777963.047619047,581872.571428571,722691.285714285,726460.380952381
"9","7",251065.476190476,286633.428571429,4596048.47619047,454857.238095238,86876,139967.714285714,305861.523809524,298122.476190476,1675861.14285714,116983.619047619,79970.0952380952,123991.214285713,292691.285714286,248497
"10","9",320930.428571428,313499.904761905,13280970.2380952,223254.666666667,34414.0476190476,68182.8095238095,328345.142857143,317664.428571428,225310.142857143,31244.2857142857,213535.238095238,111895.095238095,337629.19047619,329811.095238095
