"","Component","230523s016_QC1_1.mzML","230523s017_QC2_1.mzML","230523s018_A081.mzML","230523s020_A254.mzML","230523s021_A158.mzML","230523s022_A521.mzML","230523s028_QC1_2.mzML","230523s029_QC2_2.mzML","230523s030_A043.mzML","230523s031_A551.mzML","230523s032_A566.mzML","230523s033_A513.mzML","230523s040_QC1_3.mzML","230523s041_QC2_3.mzML"
"1","131",0.986575891420706,0.936466585660011,0.944884934790185,0.949327389568361,0.948006963256038,0.929770540093614,0.929924333954851,0.915067980304597,0.975239227003359,0.952676133711876,0.962167566064534,0.964877671250934,0.935738222749659,0.952199616380172
"2","1576",0.958666717514969,0.956328032689835,0.957729860875663,0.973346733379458,0.949233066166549,0.969972426766277,0.95605771050899,0.939798504500662,0.956867333563361,0.964415907065301,0.957470178914857,0.894147132982732,0.9746589145884,0.969479697239977
"3","1577",0.92471444402696,0.935802904305692,0.964556386391379,0.92704138940814,0.977846899273236,0.919241562007667,0.969720833502802,0.917412849314094,0.975967407922601,0.921923651945226,0.929110341930456,0.924164986250114,0.979539862072448,0.956963999148983
"4","1578",0.966187779308011,0.984444375688635,0.978685266463045,0.977752535850091,0.966866563610883,0.979803123396153,0.986681903044508,0.967168214165385,0.979006387066642,0.978569011717145,0.972646089236472,0.976216726740261,0.977843137676347,0.973420580304035
"5","1583",0.980456939433675,0.993591810108951,0.981165771268711,0.927280165988175,0.991093459218698,0.97959803973365,0.983513007969203,0.98296385716038,0.993537312290818,0.995427462050981,0.985983391777468,0.721093078081439,0.940327900740771,0.972627778772497
"6","179",0.951360332568713,0.947504667095462,0.932113566314499,0.918950126398729,0.949298406201636,0.912813970066475,0.948933763940338,0.96844707596463,0.921206798795805,0.95271833205536,0.972030102888937,0.966410767925265,0.959523621874368,0.968002262317237
"7","183",0.97131506913614,0.652490519712792,0.905918247214525,0.863760640514162,0.803190578773109,0.97546312267616,0.971668471297161,0.987297574351102,0.855412611035865,0.886985878140063,0.970048199191526,0.985258596893184,0.974511053634964,0.994429660519548
"8","331",0.944119516604706,0.98909422784549,0.942811475131242,0.9788269681522,0.902661846050624,0.921484748521628,0.992029553978845,0.971208597121133,0.982764354680505,0.949596636528102,0.976155055285035,0.994926537341596,0.966264631912858,0.982738110411522
"9","7",0.936382702826187,0.966113400255382,0.966895526812688,0.949700940990798,0.91073065497855,0.958333679107792,0.968706895245381,0.922630445424862,0.924842702947164,0.80086858980666,0.981900255395799,NA,0.941431635793205,0.84571752220203
"10","9",0.965921579300507,0.982911581961076,0.956399534179627,0.887661749982945,0.967315285500882,0.968457470609822,0.986393195367192,0.955760908354802,0.983948878286167,0.993549466532947,0.984172080129585,0.994495469815212,0.965890338650283,0.975933470003742
