"","Component","230523s016_QC1_1.mzML","230523s017_QC2_1.mzML","230523s018_A081.mzML","230523s020_A254.mzML","230523s021_A158.mzML","230523s022_A521.mzML","230523s028_QC1_2.mzML","230523s029_QC2_2.mzML","230523s030_A043.mzML","230523s031_A551.mzML","230523s032_A566.mzML","230523s033_A513.mzML","230523s040_QC1_3.mzML","230523s041_QC2_3.mzML"
"1","131",9,14,14,15,14,15,14,14,8,14,14,13,14,13
"2","1576",14,14,13,13,12,13,14,15,14,13,13,18,14,14
"3","1577",7,8,8,7,8,7,8,7,8,7,7,7,8,8
"4","1578",8,9,8,8,8,8,9,8,8,8,8,8,8,8
"5","1583",9,9,11,14,9,11,10,10,11,10,10,9,14,12
"6","179",15,15,15,16,16,15,15,14,14,14,14,12,14,14
"7","183",14,9,13,8,8,18,18,16,16,7,13,10,15,16
"8","331",14,11,15,11,15,15,9,10,11,13,13,11,12,9
"9","7",12,11,15,14,9,8,10,13,15,11,10,4,11,12
"10","9",15,14,16,12,13,12,15,15,15,11,14,14,15,14
